
How many times did I visit X?

Select count(*)
from travel_places_visited-log.csv
where place == X


How many places did I visit in Y?

Select count(r.place)
from travel_places_visited-log.csv as r
where r.city == Y

Which places in Y did I visit with Z

Select place
from travel_places_visited-log.csv as r
where r.city == Y AND Z in r.people





start_date,end_date,city,place_visit_date,place,people,action,emotion
2017-01-19 00:00:00,2017-01-25 00:00:00,"Dubai, UAE",2017/01/20,Burj Khalifa,"parents, friends, family",took a selfie,impressed
2017-01-19 00:00:00,2017-01-25 00:00:00,"Dubai, UAE",2017/01/21,Dubai Aquarium & Underwater Zoo,"parents, friends, family",took a selfie,happy
2017-01-19 00:00:00,2017-01-25 00:00:00,"Dubai, UAE",2017/01/22,Miracle Garden,"parents, friends, family",recorded some videos,happy
2017-04-27 00:00:00,2017-05-12 00:00:00,"Rome, Italy",2017/04/28,The Colosseum and the Arch of Constantine,"parents, friends, family",recorded some videos,happy
2017-04-27 00:00:00,2017-05-12 00:00:00,"Rome, Italy",2017/04/29,Roman Forum,"parents, friends, family",recorded some videos,special
2017-04-27 00:00:00,2017-05-12 00:00:00,"Rome, Italy",2017/04/30,Vatican City,"parents, friends, family",recorded some videos,special
2017-04-27 00:00:00,2017-05-12 00:00:00,"Rome, Italy",2017/05/01,Trevi Fountain,"parents, friends, family",took a selfie,special
2017-04-27 00:00:00,2017-05-12 00:00:00,"Rome, Italy",2017/05/02,The Pantheon,"parents, friends, family",took a selfie,impressed
2018-02-06 00:00:00,2018-02-16 00:00:00,"London, UK",2018/02/07,London Eye,"parents, friends, family",bought some souvenirs,impressed
2018-02-06 00:00:00,2018-02-16 00:00:00,"London, UK",2018/02/08,Hyde Park,"parents, friends, family",took a selfie,happy
2018-02-06 00:00:00,2018-02-16 00:00:00,"London, UK",2018/02/09,Camden,"parents, friends, family",took a selfie,impressed
2018-02-06 00:00:00,2018-02-16 00:00:00,"London, UK",2018/02/10,Tower of London,"parents, friends, family",recorded some videos,special
2018-02-06 00:00:00,2018-02-16 00:00:00,"London, UK",2018/02/11,Westminster,"parents, friends, family",took a selfie,impressed
